slice,iou
slice_8351.npy,0.949089
slice_8116.npy,0.968121
slice_1880.npy,0.974878
slice_10431.npy,0.975460
slice_1874.npy,0.975627
slice_1870.npy,0.980251
slice_1891.npy,0.980905
slice_1893.npy,0.981148
slice_1899.npy,0.985696
slice_12827.npy,0.986622
slice_11219.npy,0.988018
slice_13798.npy,0.988073
slice_4514.npy,0.988114
slice_1902.npy,0.988120
slice_14951.npy,0.988716
slice_9163.npy,0.988930
slice_9162.npy,0.989196
slice_999.npy,0.989493
slice_1158.npy,0.989496
slice_9976.npy,0.989691
slice_10087.npy,0.989757
slice_4509.npy,0.989761
slice_935.npy,0.989777
slice_13970.npy,0.989831
slice_14956.npy,0.990099
slice_13741.npy,0.990323
slice_11621.npy,0.990422
slice_4634.npy,0.990435
slice_5091.npy,0.990458
slice_1903.npy,0.990646
slice_10430.npy,0.990844
slice_12477.npy,0.990928
slice_2772.npy,0.991263
slice_11163.npy,0.991304
slice_12938.npy,0.991357
slice_9854.npy,0.991435
slice_14314.npy,0.991863
slice_3892.npy,0.991864
slice_120.npy,0.992000
slice_2141.npy,0.992036
slice_9690.npy,0.992105
slice_3893.npy,0.992242
slice_8586.npy,0.992313
slice_11572.npy,0.992344
slice_11167.npy,0.992453
slice_4742.npy,0.992499
slice_14657.npy,0.992554
slice_12939.npy,0.992624
slice_14890.npy,0.992638
slice_8585.npy,0.992732
slice_1381.npy,0.992738
slice_15172.npy,0.992756
slice_13398.npy,0.992826
slice_11615.npy,0.992827
slice_15007.npy,0.993099
slice_3877.npy,0.993214
slice_1035.npy,0.993277
slice_1042.npy,0.993289
slice_3588.npy,0.993314
slice_6437.npy,0.993346
slice_6382.npy,0.993411
slice_2309.npy,0.993417
slice_11663.npy,0.993469
slice_3466.npy,0.993495
slice_13511.npy,0.993514
slice_932.npy,0.993522
slice_3707.npy,0.993557
slice_12132.npy,0.993569
slice_14545.npy,0.993569
slice_11447.npy,0.993579
slice_12360.npy,0.993585
slice_8109.npy,0.993636
slice_3470.npy,0.993654
slice_9508.npy,0.993655
slice_3828.npy,0.993655
slice_14204.npy,0.993662
slice_11112.npy,0.993776
slice_3888.npy,0.993820
slice_6502.npy,0.993865
slice_1001.npy,0.993891
slice_9175.npy,0.993928
slice_6428.npy,0.993937
slice_11653.npy,0.993961
slice_7650.npy,0.993966
slice_2308.npy,0.993976
slice_3829.npy,0.994080
slice_937.npy,0.994103
slice_3067.npy,0.994138
slice_13052.npy,0.994146
slice_14157.npy,0.994197
slice_14759.npy,0.994222
slice_3817.npy,0.994253
slice_15004.npy,0.994268
slice_2135.npy,0.994275
slice_1974.npy,0.994290
slice_10615.npy,0.994292
slice_3872.npy,0.994302
slice_9735.npy,0.994310
slice_11626.npy,0.994316
slice_6031.npy,0.994318
slice_8479.npy,0.994369
slice_178.npy,0.994376
slice_6733.npy,0.994379
slice_1264.npy,0.994382
slice_1834.npy,0.994391
slice_173.npy,0.994406
slice_364.npy,0.994450
slice_3929.npy,0.994456
slice_6831.npy,0.994462
slice_969.npy,0.994483
slice_11892.npy,0.994483
slice_14156.npy,0.994508
slice_5923.npy,0.994518
slice_3062.npy,0.994548
slice_1972.npy,0.994554
slice_11449.npy,0.994558
slice_1378.npy,0.994591
slice_13275.npy,0.994595
slice_11839.npy,0.994607
slice_11445.npy,0.994624
slice_6029.npy,0.994629
slice_9686.npy,0.994638
slice_1605.npy,0.994639
slice_223.npy,0.994646
slice_12899.npy,0.994654
slice_8481.npy,0.994655
slice_12024.npy,0.994676
slice_7716.npy,0.994679
slice_1592.npy,0.994685
slice_9689.npy,0.994711
slice_7531.npy,0.994723
slice_3458.npy,0.994735
slice_9814.npy,0.994739
slice_11164.npy,0.994755
slice_7181.npy,0.994761
slice_11842.npy,0.994766
slice_6944.npy,0.994772
slice_5330.npy,0.994776
slice_10880.npy,0.994805
slice_7417.npy,0.994814
slice_1856.npy,0.994823
slice_1380.npy,0.994845
slice_5332.npy,0.994849
slice_7293.npy,0.994853
slice_2603.npy,0.994868
slice_3704.npy,0.994888
slice_2318.npy,0.994894
slice_1216.npy,0.994902
slice_2418.npy,0.994902
slice_14138.npy,0.994904
slice_5925.npy,0.994907
slice_2416.npy,0.994918
slice_14963.npy,0.994924
slice_14966.npy,0.994932
slice_6383.npy,0.994935
slice_9179.npy,0.994938
slice_3832.npy,0.994970
slice_6684.npy,0.994973
